number,language,strongs_def,derivation,translit,lemma,kjv_def,xlit,pron
H7480,H,"Reelajah, an Israelite",from H7477 (רָעַל) and H3050 (יָהּ); made to tremble (i.e. fearful) of Jah;,,רְעֵלָיָה,Reeliah.,Rᵉʻêlâyâh,reh-ay-law-yaw'
H7481,H,"to tumble, i.e. be violently agitated; specifically, to crash (of thunder); figuratively, to irritate (with anger)",a primitive root;,,רָעַם,"make to fret, roar, thunder, trouble.",râʻam,raw-am'
H7482,H,a peal of thunder,from H7481 (רָעַם);,,רַעַם,thunder.,raʻam,rah'am
H7483,H,the mane of a horse (as quivering in the wind),feminine of H7482 (רַעַם);,,רַעְמָה,thunder.,raʻmâh,rah-maw'
H7484,H,"Ramah, the name of a grandson of Ham, and of a place (perhaps founded by him)",the same as H7483 (רַעְמָה);,,רַעְמָה,Raamah.,Raʻmâh,rah-maw'
H7485,H,"Raamjah, an Israelite",from H7481 (רָעַם) and H3050 (יָהּ); Jah has shaken;,,רַעַמְיָה,Raamiah.,Raʻamyâh,rah-am-yaw'
H7486,H,"Rameses or Raamses, a place in Egypt",or רַעַמְסֵס; of Egyptian origin;,,רַעְמְסֵס,"Raamses, Rameses.",Raʻmᵉçêç,rah-mes-ace'
H7487,H,"green, i.e. (figuratively) prosperous",(Aramaic) corresponding to H7488 (רַעֲנָן);,,רַעֲנַן,flourishing.,raʻănan,rah-aw-nan'
H7488,H,"verdant; by analogy, new; figuratively, prosperous",from an unused root meaning to be green;,,רַעֲנָן,"green, flourishing.",raʻănân,rah-an-awn'
H7489,H,"properly, to spoil (literally, by breaking to pieces); figuratively, to make (or be) good fornothing, i.e. bad (physically, socially or morally)",a primitive root;,,רָעַע,"afflict, associate selves (by mistake for H7462 (רָעָה)), break (down, in pieces), [phrase] displease, (be, bring, do) evil (doer, entreat, man), show self friendly (by mistake for H7462 (רָעָה)), do harm, (do) hurt, (behave self, deal) ill, [idiom] indeed, do mischief, punish, still, vex, (do) wicked (doer, -ly), be (deal, do) worse.",râʻaʻ,raw-ah'
H7490,H,"{properly, to spoil (literally, by breaking to pieces); figuratively, to make (or be) good fornothing, i.e. bad (physically, socially or morally)}",(Aramaic) corresponding to H7489 (רָעַע),,רְעַע,"break, bruise.",rᵉʻaʻ,reh-ah'
H7491,H,to drip,a primitive root;,,רָעַף,"distil, drop (down).",râʻaph,raw-af'
H7492,H,"to break in pieces; figuratively, harass",a primitive root;,,רָעַץ,"dash in pieces, vex.",râʻats,raw-ats'
H7493,H,"to undulate (as the earth, the sky, etc.; also a field of grain), particularly through fear; specifically, to spring (as a locust)",a primitive root;,,רָעַשׁ,"make afraid, (re-) move, quake, (make to) shake, (make to) tremble.",râʻash,raw-ash
H7494,H,"vibration, bounding, uproar",from H7493 (רָעַשׁ);,,רַעַשׁ,"commotion, confused noise, earthquake, fierceness, quaking, rattling, rushing, shaking.",raʻash,rah'-ash
H7495,H,"properly, to mend (by stitching), i.e. (figuratively) to cure",or רָפָה; a primitive root;,,רָפָא,"cure, (cause to) heal, physician, repair, [idiom] thoroughly, make whole. See H7503 (רָפָה).",râphâʼ,raw-faw'
H7496,H,"properly, lax, i.e. (figuratively) a ghost (as dead; in plural only)",from H7495 (רָפָא) in the sense of H7503 (רָפָה);,,רָפָא,"dead, deceased.",râphâʼ,raw-faw'
H7497,H,a giant,or רָפָה; from H7495 (רָפָא) in the sense of invigorating;,,רָפָא,"giant, Rapha, Rephaim(-s). See also H1051 (בֵּית רָפָא).",râphâʼ,raw-faw'
H7498,H,"Rapha or Raphah, the name of two Israelites",or רָפָה; probably the same as H7497 (רָפָא); giant;,,רָפָא,Rapha.,Râphâʼ,raw-faw'
H7499,H,a medicament,feminine passive participle of H7495 (רָפָא);,,רְפֻאָה,"heal(-ed), medicine.",rᵉphuʼâh,ref-oo-aw'
H7500,H,a cure,from H7495 (רָפָא);,,רִפְאוּת,health.,riphʼûwth,rif-ooth'
H7501,H,"Rephael, an Israelite",from H7495 (רָפָא) and H410 (אֵל); God has cured;,,רְפָאֵל,Rephael.,Rᵉphâʼêl,ref-aw-ale'
H7502,H,"to spread (a bed); by implication, to refresh",a primitive root;,,רָפַד,"comfort, make (a bed), spread.",râphad,raw-fad'
H7503,H,"to slacken (in many applications, literal or figurative)",a primitive root;,,רָפָה,"abate, cease, consume, draw (toward evening), fail, (be) faint, be (wax) feeble, forsake, idle, leave, let alone (go, down), (be) slack, stay, be still, be slothful, (be) weak(-en). See H7495 (רָפָא).",râphâh,raw-faw'
H7504,H,slack (in body or mind),from H7503 (רָפָה);,,רָפֶה,"weak. raphah, Raphah. See H7497 (רָפָא), H7498 (רָפָא). riphah. See H7383 (רִיפָה).",râpheh,raw-feh'
H7505,H,"Raphu, an Israelite",passive participle of H7495 (רָפָא); cured;,,רָפוּא,Raphu.,Râphûwʼ,raw-foo'
H7506,H,"Rephach, an Israelite",from an unused root apparently meaning to sustain; support;,,רֶפַח,Rephah.,Rephach,reh'-fakh
H7507,H,a railing (as spread along),from H7502 (רָפַד);,,רְפִידָה,bottom.,rᵉphîydâh,ref-ee-daw'
H7508,H,"Rephidim, a place in the Desert",plural of the masculine of the same as H7507 (רְפִידָה); ballusters;,,רְפִידִים,Rephidim.,Rᵉphîydîym,ref-ee-deem'
H7509,H,"Rephajah, the name of five Israelites",from H7495 (רָפָא) and H3050 (יָהּ); Jah has cured;,,רְפָיָה,Rephaiah.,Rᵉphâyâh,ref-aw-yaw'
H7510,H,slackness,from H7503 (רָפָה);,,רִפְיוֹן,feebleness.,riphyôwn,rif-yone'
H7511,H,"to trample, i.e. prostrate",a primitive root;,,רָפַס,"humble self, submit self.",râphaç,raw-fas'
H7512,H,"{to trample, i.e. prostrate}",(Aramaic) corresponding to H7511 (רָפַס),,רְפַס,stamp.,rᵉphaç,ref-as'
H7513,H,a raft (as flat on the water),from H7511 (רָפַס);,,רַפְסֹדָה,flote.,raphçôdâh,raf-so-daw'
H7514,H,to recline,a primitive root;,,רָפַק,lean.,râphaq,raw-fak'
H7515,H,"to trample, i.e. roil water",a primitive root;,,רָפַשׂ,"foul, trouble.",râphas,raw-fas'
H7516,H,mud (as roiled),from H7515 (רָפַשׂ);,,רֶפֶשׁ,mire.,rephesh,reh'-fesh
H7517,H,a stall for cattle (from their resting there),probably from H7503 (רָפָה);,,רֶפֶת,stall.,repheth,reh'-feth
H7518,H,a fragment,contracted from H7533 (רָצַץ);,,רַץ,piece.,rats,rats
H7519,H,to run; also to delight in,a primitive root;,,רָצָא,"accept, run.",râtsâʼ,raw-tsaw'
H7520,H,"probably to look askant, i.e. (figuratively) be jealous",a primitive root;,,רָצַד,leap.,râtsad,raw-tsad'
H7521,H,"to be pleased with; specifically, to satisfy adebt",a primitive root;,,רָצָה,"(be) accept(-able), accomplish, set affection, approve, consent with, delight (self), enjoy, (be, have a) favour(-able), like, observe, pardon, (be, have, take) please(-ure), reconcile self.",râtsâh,raw-tsaw'
H7522,H,delight (especially as shown),or רָצֹן; from H7521 (רָצָה);,,רָצוֹן,"(be) acceptable(-ance, -ed), delight, desire, favour, (good) pleasure, (own, self, voluntary) will, as...(what) would.",râtsôwn,raw-tsone'
H7523,H,"properly, to dash in pieces, i.e. kill (a human being), especially to murder",a primitive root;,,רָצַח,"put to death, kill, (man-) slay(-er), murder(-er).",râtsach,raw-tsakh'
H7524,H,"a crushing; specifically, a murder-cry",from H7523 (רָצַח);,,רֶצַח,"slaughter, sword.",retsach,reh-tsakh
H7525,H,"Ritsjah, an Israelite",from H7521 (רָצָה); delight;,,רִצְיָא,Rezia.,Ritsyâʼ,rits-yaw'
H7526,H,"Retsin, the name of a Syrian and of an Israelite",probably for H7522 (רָצוֹן);,,רְצִין,Rezin.,Rᵉtsîyn,rets-een'
H7527,H,to pierce,a primitive root;,,רָצַע,bore.,râtsaʻ,raw-tsah'
H7528,H,"to tessellate, i.e. embroider (as if with bright stones)",a denominative from H7529 (רֶצֶף);,,רָצַף,pave.,râtsaph,raw-tsaf'
H7529,H,a red-hot stone (for baking),for H7565 (רֶשֶׁף);,,רֶצֶף,coal.,retseph,reh'-tsef
H7530,H,"Retseph, a place in Assyrian",the same as H7529 (רֶצֶף);,,רֶצֶף,Rezeph.,Retseph,reh'-tsef
H7531,H,a hot stone; also a tessellated pavement,feminine of H7529 (רֶצֶף);,,רִצְפָּה,"live coal, pavement.",ritspâh,rits-paw'
H7532,H,"Ritspah, an Israelitess",the same as H7531 (רִצְפָּה);,,רִצְפָּה,Rizpah.,Ritspâh,rits-paw'
H7533,H,"to crack in pieces, literally or figuratively",a primitive root;,,רָצַץ,"break, bruise, crush, discourage, oppress, struggle together.",râtsats,raw-tsats'
H7534,H,emaciated (as if flattened out),from H7556 (רָקַק) in its original sense;,,רַק,"lean(-fleshed), thin.",raq,rak
H7535,H,"properly, leanness, i.e. (figuratively) limitation; only adverbial, merely, or conjunctional, although",the same as H7534 (רַק) as a noun;,,רַק,"but, even, except, howbeit howsoever, at the least, nevertheless, nothing but, notwithstanding, only, save, so (that), surely, yet (so), in any wise.",raq,rak
H7536,H,spittle,from H7556 (רָקַק);,,רֹק,"spit(-ting, -tle).",rôq,roke
H7537,H,to decay (as by worm-eating),a primitive root;,,רָקַב,rot.,râqab,raw-kab'
H7538,H,decay (by caries),from H7537 (רָקַב);,,רָקָב,rottenness (thing).,râqâb,raw-kawb'
H7539,H,decay (by caries),from H7538 (רָקָב);,,רִקָּבוֹן,rotten.,riqqâbôwn,rik-kaw-bone'
H7540,H,"properly, to stamp, i.e. to spring about (wildly or for joy)",a primitive root;,,רָקַד,"dance, jump, leap, skip.",râqad,raw-kad'
H7541,H,"properly, thinness, i.e. the side of the head",feminine of H7534 (רַק);,,רַקָּה,temple.,raqqâh,rak-kaw'
H7542,H,"Rakkon, a place in Palestine",from H7534 (רַק); thinness;,,רַקּוֹן,Rakkon.,Raqqôwn,rak-kone'
H7543,H,to perfume,a primitive root;,,רָקַח,"apothecary, compound, make (ointment), prepare, spice.",râqach,raw-kakh'
H7544,H,"properly, perfumery, i.e. (by implication) spicery (for flavor)",from H7543 (רָקַח);,,רֶקַח,spiced.,reqach,reh'-kakh
H7545,H,an aromatic,from H7542 (רַקּוֹן);,,רֹקַח,"confection, ointment.",rôqach,ro'-kakh
H7546,H,a male perfumer,from H7543 (רָקַח);,,רַקָּח,apothecary.,raqqâch,rak-kawkh'
H7547,H,a scented substance,from H7543 (רָקַח);,,רַקֻּחַ,perfume.,raqquach,rak-koo'-akh
H7548,H,a female perfumer,feminine of H7547 (רַקֻּחַ);,,רַקָּחָה,confectioner.,raqqâchâh,rak-kaw-khaw'
H7549,H,"properly, an expanse, i.e. the firmament or (apparently) visible arch of the sky",from H7554 (רָקַע);,,רָקִיעַ,firmament.,râqîyaʻ,raw-kee'-ah
H7550,H,a thin cake,"from, H7556 (רָקַק) in its original sense;",,רָקִיק,"cake, wafer.",râqîyq,raw-keek'
H7551,H,"to variegate color, i.e. embroider; by implication, to fabricate",a primitive root;,,רָקַם,"embroiderer, needlework, curiously work.",râqam,raw-kam'
H7552,H,"Rekem, the name of a place in Palestine, also of a Midianite and an Israelite",from H7551 (רָקַם); versi-color;,,רֶקֶם,Rekem.,Reqem,reh'-kem
H7553,H,"variegation of color; specifically, embroidery",from H7551 (רָקַם);,,רִקְמָה,"broidered (work), divers colours, (raiment of) needlework (on both sides).",riqmâh,rik-maw'
H7554,H,"to pound the earth (as a sign of passion); by analogy to expand (by hammering); by implication, to overlay (with thin sheets of metal)",a primitive root;,,רָקַע,"beat, make broad, spread abroad (forth, over, out, into plates), stamp, stretch.",râqaʻ,raw-kah'
H7555,H,"beaten out, i.e. a (metallic) plate",from H7554 (רָקַע);,,רִקֻּעַ,broad.,riqquaʻ,rik-koo'-ah
H7556,H,to spit,a primitive root;,,רָקַק,spit.,râqaq,raw-kak'
H7557,H,"Rakkath, a place in Palestine",from H7556 (רָקַק) in its original sense of diffusing; a beach (as expanded shingle);,,רַקַּת,Rakkath.,Raqqath,rak-kath'
H7558,H,a permit,from an unused root meaning to have leave;,,רִשְׁיוֹן,grant.,rishyôwn,rish-yone'
H7559,H,to record,a primitive root;,,רָשַׁם,note.,râsham,raw-sham'
H7560,H,{to record},(Aramaic) corresponding to H7559 (רָשַׁם),,רְשַׁם,"sign, write.",rᵉsham,resh-am'
H7561,H,"to be (causatively, do or declare) wrong; by implication, to disturb, violate",a primitive root;,,רָשַׁע,"condemn, make trouble, vex, be (commit, deal, depart, do) wicked(-ly, -ness).",râshaʻ,raw-shah'
H7562,H,a wrong (especially moral),from H7561 (רָשַׁע);,,רֶשַׁע,"iniquity, wicked(-ness).",reshaʻ,reh'-shah
H7563,H,"morally wrong; concretely, an (actively) bad person",from H7561 (רָשַׁע);,,רָשָׁע,"[phrase] condemned, guilty, ungodly, wicked (man), that did wrong.",râshâʻ,raw-shaw'
H7564,H,wrong (especially moral),feminine of H7562 (רֶשַׁע);,,רִשְׁעָה,"fault, wickedly(-ness).",rishʻâh,rish-aw'
H7565,H,"a live coal; by analogy lightning; figuratively, an arrow, (as flashing through the air); specifically, fever",from H8313 (שָׂרַף);,,רֶשֶׁף,"arrow, (burning) coal, burning heat, [phrase] spark, hot thunderbolt.",resheph,reh'-shef
H7566,H,"Resheph, an Israelite",the same as H7565 (רֶשֶׁף);,,רֶשֶׁף,Resheph.,Resheph,reh'-shef
H7567,H,to demolish,a primitive root;,,רָשַׁשׁ,impoverish.,râshash,raw-shash'
H7568,H,a net (as catching animals),from H3423 (יָרַשׁ);,,רֶשֶׁת,net(-work).,resheth,reh'-sheth
H7569,H,a chain,from H7576 (רָתַק);,,רַתּוֹק,chain.,rattôwq,rat-toke'
H7570,H,to boil,a primitive root;,,רָתַח,boil.,râthach,raw-thakh'
H7571,H,a boiling,from H7570 (רָתַח);,,רֶתַח,[idiom] (boil) well.,rethach,reh'-thakh
H7572,H,a chain,from H7576 (רָתַק);,,רַתִּיקָה,chain.,rattîyqâh,rat-tee-kaw'
H7573,H,to yoke up (to the pole of a vehicle),a primitive root;,,רָתַם,bind.,râtham,raw-tham'
H7574,H,the Spanish broom (from its pole-like stems),or רֹתֶם; from H7573 (רָתַם);,,רֶתֶם,juniper (tree).,rethem,reh'-them
H7575,H,"Rithmah, a place in the Desert",feminine of H7574 (רֶתֶם);,,רִתְמָה,Rithmah.,Rithmâh,rith-maw'
H7576,H,to fasten,a primitive root;,,רָתַק,bind.,râthaq,raw-thak'
H7577,H,"something fastened, i.e. a chain",feminine passive participle of H7576 (רָתַק);,,רְתֻקָה,chain.,rᵉthuqâh,reth-oo-kaw'
H7578,H,terror,for H7374 (רֶטֶט);,,רְתֵת,trembling. �,rᵉthêth,reth-ayth'
H7579,H,to bale up water,a primitive root;,,שָׁאַב,"(woman to) draw(-er, water).",shâʼab,sahw-ab'
H7580,H,to rumble or moan,a primitive root;,,שָׁאַג,"[idiom] mightily, roar.",shâʼag,shaw-ag'
H7581,H,a rumbling or moan,from H7580 (שָׁאַג);,,שְׁאָגָה,roaring.,shᵉʼâgâh,sheh-aw-gaw'
H7582,H,"to rush; by implication, to desolate",a primitive root;,,שָׁאָה,"be desolate, (make a) rush(-ing), (lay) waste.",shâʼâh,shaw-aw'
H7583,H,"to stun, i.e. (intransitively) be astonished",a primitive root (identical with through the idea of whirling to giddiness);,,שָׁאָה,wonder.,shâʼâh,shaw-aw'
H7584,H,a tempest (as rushing),from H7582 (שָׁאָה);,,שַׁאֲוָה,desolation.,shaʼăvâh,shah-av-aw'
H7585,H,"Hades or the world of the dead (as if a subterranean retreat), including its accessories and inmates",or שְׁאֹל; from H7592 (שָׁאַל);,,שְׁאוֹל,"grave, hell, pit.",shᵉʼôwl,sheh-ole'
H7586,H,"Shaul, the name of an Edomite and two Israelites",passive participle of H7592 (שָׁאַל); asked;,,שָׁאוּל,"Saul, Shaul.",Shâʼûwl,shaw-ool'
H7587,H,a Shaulite or descendant of Shaul,patronymic from H7856 (שִׂטְנָה);,,שָׁאוּלִי,Shaulites.,Shâʼûwlîy,shaw-oo-lee'
H7588,H,"uproar (as of rushing); by implication, destruction",from H7582 (שָׁאָה);,,שָׁאוֹן,"[idiom] horrible, noise, pomp, rushing, tumult ([idiom] -uous).",shâʼôwn,shaw-one'
H7589,H,contempt,from an unused root meaning to push aside;,,שְׁאָט,despite(-ful).,shᵉʼâṭ,sheh-awt'
H7590,H,one contemning,for active part of H7750 (שׂוּט) (compare H7589 (שְׁאָט));,,שָׁאט,that (which) despise(-d).,shâʼṭ,shawt
H7591,H,desolation,from H7582 (שָׁאָה);,,שְׁאִיָּה,destruction.,shᵉʼîyâh,sheh-ee-yaw'
H7592,H,"to inquire; by implication, to request; by extension, to demand",or שָׁאֵל; a primitive root;,,שָׁאַל,"ask (counsel, on), beg, borrow, lay to charge, consult, demand, desire, [idiom] earnestly, enquire, [phrase] greet, obtain leave, lend, pray, request, require, [phrase] salute, [idiom] straitly, [idiom] surely, wish.",shâʼal,shaw-al'
H7593,H,"{to inquire; by implication, to request; by extension, to demand}",(Aramaic) corresponding to H7592 (שָׁאַל),,שְׁאֵל,"ask, demand, require.",shᵉʼêl,sheh-ale'
H7594,H,"Sheal, an Israelite",from H7592 (שָׁאַל); request;,,שְׁאָל,Sheal.,Shᵉʼâl,sheh-awl'
H7595,H,"properly, a question (at law), i.e. judicial decision or mandate",(Aramaic) from H7593 (שְׁאֵל);,,שְׁאֵלָא,demand.,shᵉʼêlâʼ,sheh-ay-law'
H7596,H,"a petition; by implication, a loan","or שֵׁלָה; (1 Samuel 1:17), from H7592 (שָׁאַל);",,שְׁאֵלָה,"loan, petition, request.",shᵉʼêlâh,sheh-ay-law'
H7597,H,"Shealtiel, an Israelite",or שַׁלְתִּיאֵל; from H7592 (שָׁאַל) and H410 (אֵל); I have asked God;,,שְׁאַלְתִּיאֵל,"Shalthiel, Shealtiel.",Shᵉʼaltîyʼêl,sheh-al-tee-ale'
H7598,H,"{Shealtiel, an Israelite}",(Aramaic) corresponding to H7597 (שְׁאַלְתִּיאֵל),,שְׁאַלְתִּיאֵל,Shealtiel.,Shᵉʼaltîyʼêl,sheh-al-tee-ale'
H7599,H,"to loll, i.e. be peaceful",a primitive root;,,שָׁאַן,"be at ease, be quiet, rest. See also H1052 (בֵּית שְׁאָן).",shâʼan,shaw-an'
H7600,H,"secure; in a bad sense, haughty",from H7599 (שָׁאַן);,,שַׁאֲנָן,"that is at ease, quiet, tumult. Compare H7946 (שַׁלְאֲנָן).",shaʼănân,shah-an-awn'
H7601,H,to plunder,a primitive root;,,שָׁאַס,spoil.,shâʼaç,shaw-as'
H7602,H,"to inhale eagerly; figuratively, to cover; by implication, to be angry; also to hasten",a primitive root;,,שָׁאַף,"desire (earnestly), devour, haste, pant, snuff up, swallow up.",shâʼaph,shaw-af'
H7603,H,barm or yeast-cake (as swelling by fermentation),from H7604 (שָׁאַר);,,שְׂאֹר,leaven.,sᵉʼôr,seh-ore'
H7604,H,"properly, to swell up, i.e. be (causatively, make) redundant",a primitive root;,,שָׁאַר,"leave, (be) left, let, remain, remnant, reserve, the rest.",shâʼar,shaw-ar'
H7605,H,a remainder,from H7604 (שָׁאַר);,,שְׁאָר,"[idiom] other, remnant, residue, rest.",shᵉʼâr,sheh-awr'
H7606,H,{a remainder},(Aramaic) corresponding to H7605 (שְׁאָר),,שְׁאָר,"[idiom] whatsoever more, residue, rest.",shᵉʼâr,sheh-awr'
H7607,H,"flesh (as swelling out), as living or forfood; generally food of any kind; figuratively, kindred by blood",from H7604 (שָׁאַר);,,שְׁאֵר,"body, flesh, food, (near) kin(-sman, -swoman), near (nigh) (of kin).",shᵉʼêr,sheh-ayr'
H7608,H,female kindred by blood,feminine of H7607 (שְׁאֵר);,,שַׁאֲרָה,near kinswomen.,shaʼărâh,shah-ar-aw'
H7609,H,"Sheerah, an Israelitess",the same as H7608 (שַׁאֲרָה);,,שֶׁאֱרָה,Sherah.,Sheʼĕrâh,sheh-er-aw'
H7610,H,"Shear-Jashub, the symbolic name of one of Isaiah's sons",from H7605 (שְׁאָר) and H7725 (שׁוּב); a remnant will return;,,שְׁאָר יָשׁוּב,Shear-jashub.,Shᵉʼâr Yâshûwb,sheh-awr'yaw-shoob'
H7611,H,"a remainder or residual (surviving, final) portion",from H7604 (שָׁאַר);,,שְׁאֵרִית,"that had escaped, be left, posterity, remain(-der), remnant, residue, rest.",shᵉʼêrîyth,sheh-ay-reeth'
H7612,H,devastation,from H7582 (שָׁאָה);,,שֵׁאת,desolation.,shêʼth,shayth
H7613,H,"an elevation or leprous scab; figuratively, elation or cheerfulness; exaltation in rank or character",from H5375 (נָשָׂא);,,שְׂאֵת,"be accepted, dignity, excellency, highness, raise up self, rising.",sᵉʼêth,seh-ayth'
H7614,H,"Sheba, the name of three early progenitors of tribes and of an Ethiopian district",of foreign origin;,,שְׁבָא,"Sheba, Sabeans.",Shᵉbâʼ,sheb-aw'
H7615,H,a Shebaite or descendant of Sheba,patronymic from H7614 (שְׁבָא);,,שְׁבָאִי,Sabean.,Shᵉbâʼîy,sheb-aw-ee'
H7616,H,"a fragment, i.e. ruin",from an unused root meaning to break up;,,שָׁבָב,broken in pieces.,shâbâb,shaw-bawb'
H7617,H,to transport into captivity,a primitive root;,,שָׁבָה,"(bring away, carry, carry away, lead, lead away, take) captive(-s), drive (take) away.",shâbâh,shaw-baw'
H7618,H,"a gem (from its sparkle), probably the agate",from an unused root (probably identical with that of H7617 (שָׁבָה) through the idea of subdivision into flashes or streamers (compare H7632 (שָׁבִיב)) meaning to flame;,,שְׁבוּ,agate.,shᵉbûw,sheb-oo'
H7619,H,"Shebuel or Shubael, the name of two Israelites",or שׁוּבָאֵל; from H7617 (שָׁבָה) (abbreviated form) or H7725 (שׁוּב) and H410 (אֵל); captive (or returned) of God;,,שְׁבוּאֵל,"Shebuel, Shubael.",Shᵉbûwʼêl,sheb-oo-ale'
H7620,H,"literally, sevened, i.e. a week (specifically, of years)","or שָׁבֻעַ; also (feminine) שְׁבֻעָה; properly, passive participle of H7650 (שָׁבַע) as a denominative of H7651 (שֶׁבַע);",,שָׁבוּעַ,"seven, week.",shâbûwaʻ,shaw-boo'-ah
H7621,H,"properly, something sworn, i.e. an oath",feminine passive participle of H7650 (שָׁבַע);,,שְׁבוּעָה,"curse, oath, [idiom] sworn.",shᵉbûwʻâh,sheb-oo-aw'
H7622,H,"exile, concretely, prisoners; figuratively, a former state of prosperity",or שְׁבִית; from H7617 (שָׁבָה);,,שְׁבוּת,captive(-ity).,shᵉbûwth,sheb-ooth'
H7623,H,"properly, to address in aloud tone, i.e. (specifically) loud; figuratively, to pacify (as if by words)",a primitive root;,,שָׁבַח,"commend, glory, keep in, praise, still, triumph.",shâbach,shaw-bakh'
H7624,H,"to adulate, i.e. adore",(Aramaic) corresponding to H7623 (שָׁבַח);,,שְׁבַח,praise.,shᵉbach,sheb-akh'
H7625,H,a clan,(Aramaic) corresponding to H7626 (שֵׁבֶט);,,שְׁבַט,tribe.,shᵉbaṭ,sheb-at'
H7626,H,"a scion, i.e. (literally) a stick (for punishing, writing, fighting, ruling, walking, etc.) or (figuratively) a clan",from an unused root probably meaning to branch off;,,שֵׁבֶט,"[idiom] correction, dart, rod, sceptre, staff, tribe.",shêbeṭ,shay'-bet
H7627,H,"Shebat, a Jewish month",of foreign origin;,,שְׁבָט,Sebat.,Shᵉbâṭ,sheb-awt'
H7628,H,"exiled; captured; as noun, exile (abstractly or concretely and collectively); by extension, booty",from H7618 (שְׁבוּ);,,שְׁבִי,"captive(-ity), prisoners, [idiom] take away, that was taken.",shᵉbîy,sheb-ee'
H7629,H,"Shobi, an Ammonite",from H7617 (שָׁבָה); captor;,,שֹׁבִי,Shobi.,Shôbîy,sho-bee'
H7630,H,"Shobai, an Israelite",for H7629 (שֹׁבִי);,,שֹׁבַי,Shobai.,Shôbay,sho-bah'-ee
H7631,H,{flame (as split into tongues)},(Aramaic) corresponding to H7632 (שָׁבִיב),,שְׂבִיב,flame.,sᵉbîyb,seb-eeb'
H7632,H,flame (as split into tongues),from the same as H7616 (שָׁבָב);,,שָׁבִיב,spark.,shâbîyb,shaw-beeb'
H7633,H,exile (abstractly or concretely and collectively),feminine of H7628 (שְׁבִי);,,שִׁבְיָה,captives(-ity).,shibyâh,shib-yaw'
H7634,H,"Shobjah, an Israelite",feminine of the same as H7629 (שֹׁבִי); captivation;,,שׇׁבְיָה,Shachia (from the margin).,Shobyâh,shob-yaw'
H7635,H,a track or passage-way (as if flowing along),from the same as H7640 (שֹׁבֶל);,,שָׁבִיל,path.,shâbîyl,shaw-beel'
H7636,H,a netting for the hair,from an unused root meaning to interweave;,,שָׁבִיס,caul.,shâbîyç,shaw-beece'
H7637,H,seventh,or שְׁבִעִי; ordinal from H7657 (שִׁבְעִים);,,שְׁבִיעִי,seventh (time).,shᵉbîyʻîy,sheb-ee-ee'
H7638,H,a netting (ornament to the capital of a column),from an unused root meaning to intwine;,,שָׂבָךְ,net.,sâbâk,saw-bawk'
H7639,H,"a net-work, i.e. (in hunting) a snare, (in architecture) a ballustrade; also a reticulated ornament to apillar",feminine of H7638 (שָׂבָךְ);,,שְׂבָכָה,"checker, lattice, network, snare, wreath(-enwork).",sᵉbâkâh,seb-aw-kaw'
H7640,H,a lady's train (as trailing after her),from an unused root meaning to flow;,,שֹׁבֶל,leg.,shôbel,show'-bel
H7641,H,"a stream (as flowing); also an ear of grain (as growing out); by analogy, a branch",or (feminine) שִׁבֹּלֶת; from the same as H7640 (שֹׁבֶל);,,שִׁבֹּל,"branch, channel, ear (of corn), (water-)flood, Shibboleth. Compare H5451 (סִבֹּלֶת).",shibbôl,shib-bole
H7642,H,a snail (as if floating in its own slime),from the same as H7640 (שֹׁבֶל);,,שַׁבְלוּל,snail.,shablûwl,shab-lool'
H7643,H,"Sebam or Sibmah, a place in Moab",or (feminine) שִׂבְמָה; probably from H1313 (בָּשָׂם); spice;,,שְׂבָם,"Shebam, Shibmah, Sibmah.",Sᵉbâm,seb-awm'
H7644,H,"Shebna or Shebnah, an Israelite",or שֶׁבְנָה; from an unused root meaning to grow; growth;,,שֶׁבְנָא,"Shebna, Shebnah.",Shebnâʼ,sheb-naw'
H7645,H,"Shebanjah, the name of three or four Israelites",or שְׁבַנְיָהוּ; from the same as H7644 (שֶׁבְנָא) and H3050 (יָהּ); Jah has grown (i.e. prospered);,,שְׁבַנְיָה,Shebaniah.,Shᵉbanyâh,sheb-an-yaw'
H7646,H,"to sate, i.e. fill to satisfaction (literally or figuratively)",or שָׂבֵעַ; a primitive root;,,שָׂבַע,"have enough, fill (full, self, with), be (to the) full (of), have plenty of, be satiate, satisfy (with), suffice, be weary of.",sâbaʻ,saw-bah'
H7647,H,copiousness,from H7646 (שָׂבַע);,,שָׂבָע,"abundance, plenteous(-ness, -ly).",sâbâʻ,saw-baw'
H7648,H,satisfaction (of food or (figuratively) joy),from H7646 (שָׂבַע);,,שֹׂבַע,"fill, full(-ness), satisfying, be satisfied.",sôbaʻ,so'-bah
H7649,H,satiated (in a pleasant or disagreeable sense),from H7646 (שָׂבַע);,,שָׂבֵעַ,"full (of), satisfied (with).",sâbêaʻ,saw-bay'-ah
H7650,H,"to seven oneself, i.e. swear (as if by repeating a declaration seven times)","a primitive root; properly to be complete, but used only as a denominative from H7651 (שֶׁבַע);",,שָׁבַע,"adjure, charge (by an oath, with an oath), feed to the full (by mistake for H7646 (שָׂבַע)), take an oath, [idiom] straitly, (cause to, make to) swear.",shâbaʻ,shaw-bah'
